Keywords,Date and Time,Source,Event ID,Task Category,
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4634,Logoff,"An account was logged off.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1
	Logon ID:		0x1197C7

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1.LOCAL
	Logon ID:		0x1197C7

Event in sequence:		1 of 1

Group Membership:			
		BUILTIN\Administrators
		Everyone
		BUILTIN\Pre-Windows 2000 Compatible Access
		BUILTIN\Users
		BUILTIN\Windows Authorization Access Group
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		FDM1\WIN-I7RFJ5N1K9P$
		FDM1\Domain Controllers
		NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS
		Authentication authority asserted identity
		FDM1\Denied RODC Password Replication Group
		Mandatory Label\System Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4624,Logon,"An account was successfully logged on.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1.LOCAL
	Logon ID:		0x1197C7
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{3ff862d4-a9d5-1b5e-7f1a-f657cbf49abd}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	-
	Source Network Address:	fe80::90bc:164a:3228:565d
	Source Port:		52763

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4672,Special Logon,"Special privileges assigned to new logon.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1
	Logon ID:		0x1197C7

Privileges:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
			SeEnableDelegationPrivilege"
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4634,Logoff,"An account was logged off.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1
	Logon ID:		0x11973D

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1.LOCAL
	Logon ID:		0x11973D

Event in sequence:		1 of 1

Group Membership:			
		BUILTIN\Administrators
		Everyone
		BUILTIN\Pre-Windows 2000 Compatible Access
		BUILTIN\Users
		BUILTIN\Windows Authorization Access Group
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		FDM1\WIN-I7RFJ5N1K9P$
		FDM1\Domain Controllers
		NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS
		Authentication authority asserted identity
		FDM1\Denied RODC Password Replication Group
		Mandatory Label\System Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4624,Logon,"An account was successfully logged on.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Information:
	Logon Type:		3
	Restricted Admin Mode:	-
	Virtual Account:		No
	Elevated Token:		Yes

Impersonation Level:		Impersonation

New Logon:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1.LOCAL
	Logon ID:		0x11973D
	Linked Logon ID:		0x0
	Network Account Name:	-
	Network Account Domain:	-
	Logon GUID:		{3ff862d4-a9d5-1b5e-7f1a-f657cbf49abd}

Process Information:
	Process ID:		0x0
	Process Name:		-

Network Information:
	Workstation Name:	-
	Source Network Address:	fe80::90bc:164a:3228:565d
	Source Port:		52762

Detailed Authentication Information:
	Logon Process:		Kerberos
	Authentication Package:	Kerberos
	Transited Services:	-
	Package Name (NTLM only):	-
	Key Length:		0

This event is generated when a logon session is created. It is generated on the computer that was accessed.

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.

The impersonation level field indicates the extent to which a process in the logon session can impersonate.

The authentication information fields provide detailed information about this specific logon request.
	- Logon GUID is a unique identifier that can be used to correlate this event with a KDC event.
	- Transited services indicate which intermediate services have participated in this logon request.
	- Package name indicates which sub-protocol was used among the NTLM protocols.
	- Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
Audit Success,7/28/2025 9:03:53 AM,Microsoft-Windows-Security-Auditing,4672,Special Logon,"Special privileges assigned to new logon.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1
	Logon ID:		0x11973D

Privileges:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege
			SeEnableDelegationPrivilege"
Audit Success,7/28/2025 9:03:48 AM,Microsoft-Windows-Security-Auditing,4634,Logoff,"An account was logged off.

Subject:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1
	Logon ID:		0x11113C

Logon Type:			3

This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer."
Audit Success,7/28/2025 9:03:48 AM,Microsoft-Windows-Security-Auditing,4627,Group Membership,"Group membership information.

Subject:
	Security ID:		NULL SID
	Account Name:		-
	Account Domain:		-
	Logon ID:		0x0

Logon Type:			3

New Logon:
	Security ID:		SYSTEM
	Account Name:		WIN-I7RFJ5N1K9P$
	Account Domain:		FDM1.LOCAL
	Logon ID:		0x11113C

Event in sequence:		1 of 1

Group Membership:			
		BUILTIN\Administrators
		Everyone
		BUILTIN\Pre-Windows 2000 Compatible Access
		BUILTIN\Users
		BUILTIN\Windows Authorization Access Group
		NT AUTHORITY\NETWORK
		NT AUTHORITY\Authenticated Users
		NT AUTHORITY\This Organization
		FDM1\WIN-I7RFJ5N1K9P$
		FDM1\Domain Controllers
		NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS
		Authentication authority asserted identity
		FDM1\Denied RODC Password Replication Group
		Mandatory Label\System Mandatory Level

The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.

The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).

The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.

This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
